Country,count
Afghanistan,1
Algeria,12
Argentina,140
Armenia,9
Australia,678
Austria,24
Azerbaijan,16
Bahamas,19
Barbados,1
Belarus,92
Belgium,24
Brazil,241
Bulgaria,73
Burundi,1
Cameroon,20
Canada,177
Chile,23
China,550
Colombia,6
Costa Rica,3
Croatia,79
Cuba,305
Czech Republic,41
Czechoslovakia,8
Denmark,110
Dominican Republic,3
Ecuador,2
Egypt,6
Eritrea,1
Estonia,12
Ethiopia,28
Finland,23
France,303
Georgia,18
Germany,691
Ghana,13
Greece,66
Hong Kong*,3
Hungary,208
Iceland,15
Independent Olympic Participants (1992),3
India,6
Indonesia,32
Iran,18
Ireland,10
Israel,7
Italy,326
Jamaica,73
Japan,278
Kazakhstan,39
Kenya,44
"Korea, North",30
"Korea, South",318
Kuwait,1
Kyrgyzstan,3
Latvia,14
Lithuania,50
Macedonia,1
Malaysia,6
Mauritius,1
Mexico,16
Moldova,6
Mongolia,8
Morocco,15
Mozambique,2
Namibia,4
Netherlands,323
New Zealand,48
Nigeria,77
Norway,121
Pakistan,16
Panama,1
Paraguay,17
Peru,1
Philippines,2
Poland,119
Portugal,10
Puerto Rico*,2
Qatar,2
Romania,198
Russia,638
Saudi Arabia,2
Serbia,29
Singapore,3
Slovakia,29
Slovenia,21
South Africa,24
Spain,274
Sri Lanka,1
Sudan,1
Suriname,1
Sweden,117
Switzerland,44
Syria,2
Taiwan,39
Tajikistan,2
Thailand,18
Togo,1
Tonga,1
Trinidad and Tobago,10
Tunisia,2
Turkey,35
Uganda,1
Ukraine,148
Unified team,223
United Arab Emirates,1
United Kingdom,265
United States,1311
Uruguay,1
Uzbekistan,17
Venezuela,3
Vietnam,2
Yugoslavia,52
Zambia,1
Zimbabwe,7
