Year,Country,gold
1992,Algeria,1
1992,Australia,14
1992,Brazil,13
1992,Bulgaria,3
1992,Canada,27
1992,China,18
1992,Cuba,44
1992,Czechoslovakia,4
1992,Denmark,3
1992,Estonia,1
1992,Ethiopia,1
1992,Finland,1
1992,France,9
1992,Germany,81
1992,Greece,2
1992,Hungary,14
1992,Indonesia,2
1992,Ireland,1
1992,Italy,22
1992,Japan,3
1992,Kenya,2
1992,"Korea, North",4
1992,"Korea, South",28
1992,Lithuania,1
1992,Morocco,1
1992,Netherlands,5
1992,New Zealand,1
1992,Norway,2
1992,Poland,5
1992,Romania,8
1992,Spain,44
1992,Sweden,1
1992,Switzerland,1
1992,Turkey,2
1992,Unified team,92
1992,United Kingdom,8
1992,United States,89
1996,Algeria,2
1996,Armenia,1
1996,Australia,32
1996,Belarus,1
1996,Belgium,2
1996,Brazil,5
1996,Bulgaria,3
1996,Burundi,1
1996,Canada,8
1996,China,19
1996,Costa Rica,1
1996,Croatia,16
1996,Cuba,39
1996,Czech Republic,4
1996,Denmark,22
1996,Ecuador,1
1996,Ethiopia,2
1996,Finland,1
1996,France,21
1996,Germany,42
1996,Greece,4
1996,Hong Kong*,1
1996,Hungary,8
1996,Indonesia,2
1996,Iran,1
1996,Ireland,3
1996,Italy,19
1996,Jamaica,1
1996,Japan,3
1996,Kazakhstan,3
1996,Kenya,1
1996,"Korea, North",2
1996,"Korea, South",10
1996,Netherlands,38
1996,New Zealand,3
1996,Nigeria,19
1996,Norway,2
1996,Poland,7
1996,Portugal,1
1996,Romania,13
1996,Russia,36
1996,Slovakia,1
1996,South Africa,3
1996,Spain,24
1996,Sweden,3
1996,Switzerland,5
1996,Syria,1
1996,Thailand,1
1996,Turkey,4
1996,Ukraine,10
1996,United Kingdom,2
1996,United States,160
1996,Yugoslavia,1
2000,Algeria,1
2000,Australia,60
2000,Austria,3
2000,Azerbaijan,2
2000,Bahamas,6
2000,Belarus,3
2000,Bulgaria,5
2000,Cameroon,18
2000,Canada,4
2000,China,39
2000,Colombia,1
2000,Croatia,1
2000,Cuba,22
2000,Czech Republic,2
2000,Denmark,18
2000,Estonia,1
2000,Ethiopia,4
2000,Finland,3
2000,France,22
2000,Germany,31
2000,Greece,4
2000,Hungary,25
2000,Indonesia,2
2000,Iran,3
2000,Italy,22
2000,Japan,5
2000,Kazakhstan,3
2000,Kenya,2
2000,"Korea, South",12
2000,Latvia,1
2000,Lithuania,2
2000,Mexico,1
2000,Mozambique,1
2000,Netherlands,27
2000,New Zealand,1
2000,Norway,21
2000,Poland,7
2000,Romania,27
2000,Russia,66
2000,Slovakia,2
2000,Slovenia,3
2000,Spain,3
2000,Sweden,4
2000,Switzerland,1
2000,Thailand,1
2000,Turkey,3
2000,Ukraine,3
2000,United Kingdom,22
2000,United States,130
2000,Uzbekistan,1
2000,Yugoslavia,12
2004,Argentina,26
2004,Australia,49
2004,Austria,3
2004,Azerbaijan,1
2004,Bahamas,1
2004,Belarus,2
2004,Belgium,1
2004,Brazil,18
2004,Bulgaria,2
2004,Cameroon,1
2004,Canada,3
2004,Chile,3
2004,China,52
2004,Croatia,14
2004,Cuba,31
2004,Czech Republic,1
2004,Denmark,19
2004,Dominican Republic,1
2004,Egypt,1
2004,Ethiopia,2
2004,France,21
2004,Georgia,2
2004,Germany,41
2004,Greece,8
2004,Hungary,24
2004,Indonesia,1
2004,Iran,2
2004,Israel,1
2004,Italy,24
2004,Jamaica,6
2004,Japan,21
2004,Kazakhstan,1
2004,Kenya,1
2004,"Korea, South",14
2004,Lithuania,1
2004,Morocco,2
2004,Netherlands,4
2004,New Zealand,4
2004,Norway,5
2004,Poland,4
2004,Romania,23
2004,Russia,47
2004,Slovakia,3
2004,South Africa,4
2004,Spain,4
2004,Sweden,5
2004,Switzerland,1
2004,Taiwan,2
2004,Thailand,3
2004,Turkey,3
2004,Ukraine,9
2004,United Arab Emirates,1
2004,United Kingdom,17
2004,United States,116
2004,Uzbekistan,2
2004,Zimbabwe,1
2008,Argentina,20
2008,Australia,31
2008,Azerbaijan,1
2008,Belarus,8
2008,Belgium,1
2008,Brazil,14
2008,Bulgaria,1
2008,Cameroon,1
2008,Canada,11
2008,China,74
2008,Cuba,2
2008,Czech Republic,3
2008,Denmark,6
2008,Dominican Republic,1
2008,Estonia,1
2008,Ethiopia,4
2008,Finland,1
2008,France,25
2008,Georgia,3
2008,Germany,42
2008,Hungary,16
2008,India,1
2008,Indonesia,2
2008,Iran,1
2008,Italy,8
2008,Jamaica,9
2008,Japan,23
2008,Kazakhstan,2
2008,Kenya,6
2008,"Korea, North",2
2008,"Korea, South",41
2008,Latvia,1
2008,Mexico,2
2008,Mongolia,2
2008,Netherlands,40
2008,New Zealand,4
2008,Norway,16
2008,Panama,1
2008,Poland,6
2008,Portugal,1
2008,Romania,5
2008,Russia,43
2008,Slovakia,4
2008,Slovenia,1
2008,Spain,7
2008,Switzerland,3
2008,Thailand,2
2008,Tunisia,1
2008,Turkey,1
2008,Ukraine,10
2008,United Kingdom,31
2008,United States,125
2008,Uzbekistan,1
2008,Zimbabwe,1
